City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
266,Damietta,EG,31.4165,31.8133,80.49,72,0,13.87,clear sky
267,Lucapa,AO,-8.4192,20.7447,73.33,64,96,8.99,overcast clouds
268,Kintampo,GH,8.0563,-1.7306,80.94,82,53,0.43,light rain
269,Dalvik,IS,65.9702,-18.5286,39.13,77,100,5.7,overcast clouds
270,Stornoway,GB,58.2093,-6.3865,54.93,100,75,12.66,broken clouds
271,Zadonsk,RU,52.3904,38.9261,46.54,79,98,3.36,overcast clouds
272,Aksu,CN,41.1231,80.2644,70.41,28,15,7.2,few clouds
273,Hammerfest,NO,70.6634,23.6821,47.93,71,40,14.97,scattered clouds
274,Ipora,BR,-16.4419,-51.1178,103.33,13,3,6.93,clear sky
275,Mungwi,ZM,-10.1732,31.3694,76.55,26,77,6.64,broken clouds
276,Raga,SS,8.4596,25.678,80.44,66,56,3.53,broken clouds
277,Kastornoye,RU,51.8334,38.1302,46.33,85,98,4.68,overcast clouds
278,Dingle,PH,10.9995,122.6711,75.99,91,78,4.72,broken clouds
279,Roald,NO,62.5833,6.1333,50.9,76,75,19.57,broken clouds
280,Derzhavinsk,KZ,51.1,66.3167,43.38,53,7,11.7,clear sky
281,Pafos,CY,34.7667,32.4167,76.91,61,90,23.02,overcast clouds
282,Balila,JO,32.3881,35.9351,69.15,70,0,14.85,clear sky
283,Akcakoca,TR,41.0866,31.1162,57.38,81,97,6.51,light rain
284,Porto Empedocle,IT,37.2934,13.5264,75.31,79,40,5.3,scattered clouds
285,Yalta,UA,44.5,34.1667,55.62,70,51,8.32,broken clouds
286,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,32,75,17.27,broken clouds
287,Maryville,US,35.7565,-83.9705,68.29,66,75,1.01,broken clouds
288,Arlit,NE,18.7369,7.3853,100.94,15,54,3.96,broken clouds
289,Ewo,CG,-0.8725,14.8206,76.77,76,100,5.41,light rain
290,Hobyo,SO,5.3505,48.5268,77.95,84,98,24.02,overcast clouds
291,Marica,BR,-22.9194,-42.8186,75.36,58,41,11.41,scattered clouds
292,Mossoro,BR,-5.1875,-37.3442,93.15,49,40,16.11,scattered clouds
293,Benghazi,LY,32.1167,20.0667,77.61,67,0,21.81,clear sky
